"common.name","spp","spp.code","year","N","nets"
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",2000,0,9
"Prairie Warbler","Setophaga discolor","PRWA",2000,16,9
"Baltimore Oriole","Icterus galbula","BAOR",2000,0,9
"Indigo Bunting","Passerina cyanea","INBU",2000,1,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",2000,12,9
"Merlin","Falco columbarius","MERL",2001,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",2001,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",2001,41,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",2001,5,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",2001,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",2001,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",2001,45,9
"Prothonotary Warbler","Protonotaria citrea","PROW",2001,6,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",2001,2,9
"Kentucky Warbler","Geothlypis formosa","KEWA",2001,0,9
"Hooded Warbler","Setophaga citrina","HOWA",2001,5,9
"American Redstart","Setophaga ruticilla","AMRE",2001,24,9
"Cape May Warbler","Setophaga tigrina","CMWA",2001,0,9
"Northern Parula","Setophaga americana","NOPA",2001,15,9
"Magnolia Warbler","Setophaga magnolia","MAWA",2001,2,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",2001,0,9
"Prairie Warbler","Setophaga discolor","PRWA",2001,13,9
"Baltimore Oriole","Icterus galbula","BAOR",2001,0,9
"Indigo Bunting","Passerina cyanea","INBU",2001,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",2001,12,9
"Merlin","Falco columbarius","MERL",2002,1,9
"Bicknell's Thrush","Catharus bicknelli","BITH",2002,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",2002,30,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",2002,1,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",2002,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",2002,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",2002,26,9
"Prothonotary Warbler","Protonotaria citrea","PROW",2002,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",2002,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",2002,0,9
"Hooded Warbler","Setophaga citrina","HOWA",2002,0,9
"American Redstart","Setophaga ruticilla","AMRE",2002,16,9
"Cape May Warbler","Setophaga tigrina","CMWA",2002,0,9
"Northern Parula","Setophaga americana","NOPA",2002,10,9
"Magnolia Warbler","Setophaga magnolia","MAWA",2002,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",2002,0,9
"Prairie Warbler","Setophaga discolor","PRWA",2002,10,9
"Baltimore Oriole","Icterus galbula","BAOR",2002,0,9
"Indigo Bunting","Passerina cyanea","INBU",2002,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",2002,0,9
"Merlin","Falco columbarius","MERL",2003,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",2003,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",2003,16,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",2003,3,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",2003,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",2003,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",2003,26,9
"Prothonotary Warbler","Protonotaria citrea","PROW",2003,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",2003,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",2003,0,9
"Hooded Warbler","Setophaga citrina","HOWA",2003,0,9
"American Redstart","Setophaga ruticilla","AMRE",2003,23,9
"Cape May Warbler","Setophaga tigrina","CMWA",2003,0,9
"Northern Parula","Setophaga americana","NOPA",2003,1,9
"Magnolia Warbler","Setophaga magnolia","MAWA",2003,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",2003,0,9
"Prairie Warbler","Setophaga discolor","PRWA",2003,12,9
"Baltimore Oriole","Icterus galbula","BAOR",2003,0,9
"Indigo Bunting","Passerina cyanea","INBU",2003,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",2003,0,9
"Merlin","Falco columbarius","MERL",2004,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",2004,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",2004,20,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",2004,0,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",2004,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",2004,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",2004,15,9
"Prothonotary Warbler","Protonotaria citrea","PROW",2004,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",2004,1,9
"Kentucky Warbler","Geothlypis formosa","KEWA",2004,0,9
"Hooded Warbler","Setophaga citrina","HOWA",2004,2,9
"American Redstart","Setophaga ruticilla","AMRE",2004,14,9
"Cape May Warbler","Setophaga tigrina","CMWA",2004,3,9
"Northern Parula","Setophaga americana","NOPA",2004,6,9
"Magnolia Warbler","Setophaga magnolia","MAWA",2004,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",2004,0,9
"Prairie Warbler","Setophaga discolor","PRWA",2004,13,9
"Baltimore Oriole","Icterus galbula","BAOR",2004,0,9
"Indigo Bunting","Passerina cyanea","INBU",2004,1,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",2004,4,9
"Merlin","Falco columbarius","MERL",2005,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",2005,1,9
"Ovenbird","Seiurus aurocapilla","OVEN",2005,24,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",2005,5,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",2005,0,9
